,word,adult_definition,kids_definition,adult_word_count,kids_word_count,from_Qwen2,word_count,similarity
1343,humiliate,To destroy somebody's confidence or happiness; to humiliate.,'to make somebody feel ashamed or stupid and lose the respect of other people',8,14,to make someone feel silly and not respected by others,10,0.82393837
1344,demoralize,To destroy somebody's confidence or happiness; to humiliate.,'to make somebody lose confidence or hope',8,7,to make somebody feel less sure or hopeful,8,0.80159074
1345,orthography,'The study of correct spelling according to established usage.','the system of spelling in a language',9,7,how words are spelled in a language,7,0.80901766
1346,hexahedron,'A three-dimensional polyhedron bounded by six square sides of equal size; one of the five Platonic solids','a solid shape with six flat sides',17,7,a strong thing with six flat parts,7,0.7908391
1347,defendant,'Any party who is required to answer the complaint of a plaintiff in a civil lawsuit before a court.','the person in a trial who is accused of committing a crime or who is being sued by another person',19,20,the person in a trial who did something wrong or is in trouble with another person,16,0.8723489
1348,bereave,'To take away someone or something important or close.','if somebody is bereaved a relative or close friend has just died',9,12,"If someone's family or best friend just passed away, they are very sad.",13,0.7831942
1349,deterioration,'The process of changing to an inferior state.','the fact or process of becoming worse',8,7,"when things get not good, or go from better to worse",11,0.65245426
1350,adverse,Contrary to one's interests or welfare.,'negative and unpleasant; not likely to produce a good result',6,10,Not nice and happy; probably won't end well.,8,0.68025607
1351,annular,'Pertaining to or having the form of a ring.','having a shape like a ring',9,6,looking like a ring,4,0.75108534
1352,convoke,'Call a group of people that are part of a company organ to meet.','to gather together a group of people for a formal meeting',14,11,to get a bunch of people together for a serious talk,11,0.80072945
1353,expiration,'Point in time that is determined for the completion of an activity.','an ending of the period of time when an official document can be used or when an agreement is legally acceptable',12,21,"when a paper from the boss stops being okay to use, or a promise deal is not good by the law anymore",22,0.7684667
1354,temporarily,'For a relatively brief period of time.','in a way that lasts or is intended to last or be used only for a short time; in a way that is not permanent',7,25,"for a long time, not just a little while; not forever, just for now",14,0.68119
1355,throughput,'The rate at which something can be processed.','the amount of work that is done or the number of people that are dealt with in a particular period of time',8,22,how much work is done or how many people are helped in a certain time,15,0.85419536
1356,detonate,'To expand suddenly with great force a loud noise and release energy because of strong inner pressure due to a violent chemical or physical reaction.','to explode or to make a bomb or other device explode',25,11,to go boom or to make something like a bomb go boom,12,0.7613797
1357,flatterer,'Making many and often exaggerrated compliments.','a person who says nice things about you often in a way that is not sincere because they want you to do something for them or they want to please you',6,31,"Someone who tells you good stuff lots, but not from their heart, just to get you to help them or make you happy.",23,0.8692405
1358,taxpayer,'A person or organisation who is subject to liable for or pays tax.','a person who pays tax to the government especially on the money that they earn',13,15,"Someone who gives money to the big house, especially from what they get for work.",15,0.80151856
1359,treasurer,'The official entrusted with the funds and revenues of an organization.','a person who is responsible for the money and accounts of a club or an organization',11,16,A person who takes care of the money and counts it for a group or a team.,17,0.80119234
